sample_id,method,order,runtime_status,prediction,gold_answers,answer_exact,answer_token_f1,supporting_f1,triple_event_f1,graph_triple_f1,verifier_precision,verifier_recall,verifier_f1,verifier_micro_precision,verifier_micro_recall,verifier_micro_f1,verifier_candidate_count,plan_valid,plan_relation_recall,early_latent_evidence_recall,callback_hit_rate,deferred_to_promoted,cross_window_deferred_to_promoted,cross_window_deferred_promoted_count,non_early_deferred_promoted_count,windows_processed,window_word_budget,streaming_protocol_valid,model_calls,input_tokens,output_tokens,latency_ms,error_type,error
dev_1476,v5_predicted,original,ANSWERED,Irish,"[""Chill Factor"", ""Southern Ireland"", ""ie"", ""Éire"", ""ireland"", ""Eire"", ""Ireland, Republic of"", ""Hibernia"", ""IRL"", ""Ireland"", ""IE"", ""Republic of Ireland"", ""🇮🇪""]",False,0.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,2,2,,True,13,17807,1235,116924.46735699195,,
dev_1654,v5_predicted,original,ANSWERED,Yes,"[""yes""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,1,,True,5,8983,632,19163.461264048237,,
dev_1690,v5_predicted,original,ANSWERED,One Note At A Time,"[""One Note At A Time"", ""One Note at a Time""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,13298,693,40603.99119602516,,
dev_1739,v5_predicted,original,ANSWERED,City of Silent Men,"[""City Of Silent Men"", ""City of Silent Men""]",True,1.0,,,,,,,,,,,True,,,1.0,0.3333333333333333,0.0,0,1,1,,True,7,9322,710,34127.87595199188,,
dev_2001,v5_predicted,original,ANSWERED,BMW,"[""IG Farben"", ""I.G. Farben"", ""I.G. Farbenindustrie AG""]",False,0.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,8,11588,373,141758.29970900668,,
dev_2376,v5_predicted,original,ANSWERED,Manjal Mahimai,"[""Manjal Mahimai""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,11313,340,11410.06688401103,,
dev_2505,v5_predicted,original,ANSWERED,"William II, Duke of Normandy","[""Richard I"", ""Richard I of Normandy"", ""Richard the Fearless""]",False,0.4444444444444445,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,9,13908,631,162803.11767198145,,
dev_2539,v5_predicted,original,ANSWERED,Red Pearls,"[""Red Pearls""]",True,1.0,,,,,,,,,,,True,,,1.0,0.5,0.0,0,1,2,,True,12,15421,1032,80334.07932904083,,
dev_2643,v5_predicted,original,ANSWERED,no,"[""no""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,1,,True,5,8027,437,19098.8761120243,,
dev_2700,v5_predicted,original,ANSWERED,O.K. Connery,"[""O.K. Connery""]",True,1.0,,,,,,,,,,,True,,,0.5,1.0,0.0,0,1,2,,True,12,23378,1302,39656.76375600742,,
dev_2828,v5_predicted,original,ANSWERED,Russian,"[""USSR"", ""Soviet Union"", ""Soviets"", ""Soviet"", ""The Soviets"", ""the Union of Soviet Socialist Republics"", ""U.S.S.R."", ""U.S.S.R"", ""SU"", ""CCCP"", ""the Soviet Union"", ""СССР"", ""Union of Soviet Socialist Republics""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,1,,True,5,8113,198,54731.46236600587,,
dev_2908,v5_predicted,original,ANSWERED,Information not available in working memory,"[""Krastyo Sarafov National Academy for Theatre and Film Arts""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,9,18929,656,20897.931000974495,,
dev_2912,v5_predicted,original,ANSWERED,no,"[""no""]",True,1.0,,,,,,,,,,,True,,,0.5,0.0,0.0,0,0,2,,True,10,19400,1199,74815.52713998826,,
dev_297,v5_predicted,original,ANSWERED,"Kettlethorpe Hall, Lincolnshire","[""Weston Park""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,12587,402,56584.99591099098,,
dev_3009,v5_predicted,original,ANSWERED,29 October 1926,"[""29 October 1926""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,14550,484,15444.96552599594,,
dev_3169,v5_predicted,original,ANSWERED,Bloodfist III: Forced to Fight,"[""Bloodfist III: Forced to Fight"", ""Bloodfist Iii: Forced To Fight""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,10617,420,11309.713412018027,,
dev_3196,v5_predicted,original,ANSWERED,University of Maryland,"[""Maryland Agricultural College"", ""UM"", ""Maryland State College"", ""UMCP"", ""The University of Maryland"", ""College Park"", ""University of Maryland"", ""University of Maryland, College Park"", ""UMD""]",True,1.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,9,12249,595,15453.840985021088,,
dev_3204,v5_predicted,original,ANSWERED,The Hidden Way,"[""Hidden Way"", ""The Hidden Way""]",True,1.0,,,,,,,,,,,True,,,1.0,0.6666666666666666,0.0,0,2,2,,True,14,17297,918,229338.4084890131,,
dev_324,v5_predicted,original,ANSWERED,"Västerås, Sweden","[""Vasteras"", ""Västerås""]",False,0.6666666666666666,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,8,11039,313,425554.8699609935,,
dev_3255,v5_predicted,original,ANSWERED,Girls in White,"[""Girls in White"", ""Girls In White""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,3,2,,True,13,15880,916,28932.734987989534,,
dev_3320,v5_predicted,original,ANSWERED,Yes,"[""yes""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,14254,704,48446.37740502367,,
dev_3512,v5_predicted,original,ANSWERED,Arthur 2: On The Rocks,"[""Arthur 2: On The Rocks"", ""Arthur 2: On the Rocks""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,10312,517,25845.768437022343,,
dev_3636,v5_predicted,original,ANSWERED,One Day In The Life Of Andrei Arsenevich,"[""One Day In The Life Of Andrei Arsenevich"", ""One Day in the Life of Andrei Arsenevich""]",True,1.0,,,,,,,,,,,True,,,0.5,1.0,0.0,0,1,2,,True,8,12545,879,187804.4106370071,,
dev_3749,v5_predicted,original,ANSWERED,"Neither; both were released on the same date (December 10, 2010)","[""Banditi di Praga"", ""Banditi Di Praga""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,19438,646,27603.61811699113,,
dev_3821,v5_predicted,original,ANSWERED,Alice Mak,"[""Mai Jiabi"", ""Alice Mak (cartoonist)"", ""Alice Mak"", ""Mak Ga-bik""]",True,1.0,,,,,,,,,,,True,,,1.0,0.5,0.0,0,1,2,,True,10,21822,720,39260.42784698075,,
dev_3867,v5_predicted,original,ANSWERED,Masalsa,"[""Sophoniba"", ""Sofonisba"", ""Sophonisba""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,12043,1195,41962.71978697041,,
dev_3889,v5_predicted,original,ANSWERED,The Pocket-Knife,"[""The Pocket-Knife"", ""Pocket-knife"", ""The Pocket-knife""]",True,1.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,9,12379,724,32746.034533018246,,
dev_4052,v5_predicted,original,ANSWERED,Det Sande Ansigt,"[""Det Sande Ansigt"", ""Det sande ansigt""]",True,1.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,9,12448,516,33471.2425370235,,
dev_4077,v5_predicted,original,ANSWERED,Why Does Herr R. Run Amok?,"[""Why Does Herr R. Run Amok?""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,14365,692,31502.39362899447,,
dev_420,v5_predicted,original,ANSWERED,Bad Day At Black Rock,"[""Bad Day At Black Rock"", ""Bad Day at Black Rock""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,9,22604,6650,215549.22704701312,,
dev_4254,v5_predicted,original,ANSWERED,Moulins,"[""Poitiers""]",False,0.0,,,,,,,,,,,True,,,1.0,0.25,0.0,0,1,2,,True,11,16191,1468,61022.0034919912,,
dev_4264,v5_predicted,original,ANSWERED,Prince Rainier III,"[""Rainier III"", ""Rainier Louis Henri Maxence Bertrand Grimaldi"", ""Rainier III, Prince of Monaco""]",False,0.8,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,13318,393,15477.245578018483,,
dev_4288,v5_predicted,original,ANSWERED,Queen Sirikit,"[""Sirikit Kitiyakara"", ""Sirikit""]",False,0.6666666666666666,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,1,,True,7,10184,512,21545.77284603147,,
dev_4452,v5_predicted,original,ANSWERED,Angel's Fall,"[""Angel'S Fall"", ""Meleğin Düşüşü"", ""Angel's Fall""]",True,1.0,,,,,,,,,,,True,,,0.6666666666666666,1.0,0.0,0,2,2,,True,12,16126,908,26390.4341859743,,
dev_4526,v5_predicted,original,ANSWERED,Begrijpt U Nu Waarom Ik Huil?,"[""Begrijpt U Nu Waarom Ik Huil?""]",True,1.0,,,,,,,,,,,True,,,0.75,0.2,0.0,0,1,2,,True,16,25529,2003,70616.22735997662,,
dev_4533,v5_predicted,original,ANSWERED,Italy,"[""U.S.A."", ""American"", ""US of A"", ""US"", ""United States of America"", ""USA"", ""the United States of America"", ""United States"", ""the US"", ""🇺🇸"", ""the United States"", ""U.S."", ""America"", ""the USA""]",False,0.0,,,,,,,,,,,True,,,1.0,1.0,1.0,1,0,2,,True,11,19945,449,92288.25995494844,,
dev_4546,v5_predicted,original,ANSWERED,The Big Show-Off,"[""Big Show-Off"", ""The Big Show-Off""]",True,1.0,,,,,,,,,,,True,,,0.6666666666666666,0.3333333333333333,0.3333333333333333,1,0,2,,True,14,17626,1143,43632.146500982344,,
dev_4587,v5_predicted,original,ANSWERED,Invasion of the Bee Girls,"[""Children, Mother, and the General"", ""Children, Mother, And The General""]",False,0.20000000000000004,,,,,,,,,,,True,,,0.6666666666666666,0.5,0.0,0,1,2,,True,14,20534,1211,225591.31974901538,,
dev_4594,v5_predicted,original,ANSWERED,The Story Of Gilbert And Sullivan,"[""The Story of Gilbert and Sullivan"", ""Story of Gilbert and Sullivan"", ""The Story Of Gilbert And Sullivan""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,9,14920,937,45187.28126195492,,
dev_4680,v5_predicted,original,ANSWERED,Nina Škottová,"[""Henry Strutt, 2Nd Baron Belper"", ""Henry Strutt, 2nd Baron Belper""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,10464,724,22871.811904013157,,
dev_4721,v5_predicted,original,ANSWERED,My Wedding Night,"[""My Wedding Night""]",True,1.0,,,,,,,,,,,True,,,1.0,0.14285714285714285,0.0,0,1,2,,True,17,24283,1717,92046.20706103742,,
dev_4734,v5_predicted,original,ANSWERED,The King Of England Will Not Pay,"[""The King of England Will Not Pay"", ""The King Of England Will Not Pay""]",True,1.0,,,,,,,,,,,True,,,1.0,0.25,0.0,0,1,2,,True,11,14551,967,147583.40096398024,,
dev_4741,v5_predicted,original,ANSWERED,County Cork,"[""The City of Good Neighbors"", ""The Nickel City"", ""The City of No Illusions"", ""The Queen City"", ""Buffalo, New York"", ""Buffalo"", ""Queen City of the Lakes"", ""City of Light""]",False,0.0,,,,,,,,,,,True,,,1.0,0.5,0.0,0,1,2,,True,9,18088,310,30735.466216981877,,
dev_4745,v5_predicted,original,ANSWERED,Yes,"[""yes""]",True,1.0,,,,,,,,,,,True,,,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,1,2,,True,12,16951,960,28115.675879002083,,
dev_4766,v5_predicted,original,ANSWERED,Yes,"[""yes""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,8,11679,444,14120.13667204883,,
dev_4783,v5_predicted,original,ANSWERED,Our Crazy Aunts,"[""Our Crazy Aunts""]",True,1.0,,,,,,,,,,,True,,,1.0,0.6666666666666666,0.0,0,2,2,,True,15,22955,1380,99488.40208200272,,
dev_4919,v5_predicted,original,ANSWERED,No,"[""yes""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,14954,810,32138.21253599599,,
dev_4969,v5_predicted,original,ANSWERED,Malaysia,"[""Malaysia"", ""Malaysia Federation"", ""Federation of Malaysia"", ""my"", ""🇲🇾"", ""MYS"", ""MAS""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,10,13995,492,27969.296096009202,,
dev_4998,v5_predicted,original,ANSWERED,Predslava of Kiev,"[""Świętosława of Poland""]",False,0.3333333333333333,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,12237,1170,42044.51826802688,,
dev_5076,v5_predicted,original,ANSWERED,Landsberg am Lech,"[""Brunswick"", ""Braunschweig""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,9578,328,15461.529834021349,,
dev_5107,v5_predicted,original,ANSWERED,Raja Nandini,"[""Raja Nandini""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,8,11845,433,16778.664285957348,,
dev_5253,v5_predicted,original,ANSWERED,no,"[""no""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,13843,564,17330.22034302121,,
dev_5270,v5_predicted,original,ANSWERED,German,"[""Italian"", ""Italy"", ""🇮🇹"", ""Italian Republic"", ""Italia"", ""ITA"", ""it"", ""IT""]",False,0.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,8,10800,278,202747.58539104369,,
dev_5288,v5_predicted,original,ANSWERED,Ang So,"[""Outey""]",False,0.0,,,,,,,,,,,True,,,1.0,0.3333333333333333,0.0,0,1,2,,True,9,12933,495,456198.6240959959,,
dev_5300,v5_predicted,original,ANSWERED,yes,"[""yes""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,17050,498,74763.82409897633,,
dev_5359,v5_predicted,original,ANSWERED,Stanislas Batchi,"[""Stanislas Batchi""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,1,,True,7,10176,464,18770.785917004105,,
dev_5424,v5_predicted,original,ANSWERED,Princess Sophie of Sweden,"[""Princess Sophie of Sweden""]",True,1.0,,,,,,,,,,,True,,,1.0,0.2,0.2,1,0,2,,True,8,11595,669,32848.53924100753,,
dev_5528,v5_predicted,original,ANSWERED,"Nashville, Tennessee","[""Nashville, Tennessee"", ""Nashville–Davidson County"", ""Metropolitan Government of Nashville and Davidson County"", ""Nashville""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,10,19608,445,18042.81140799867,,
dev_5617,v5_predicted,original,ANSWERED,Yes,"[""yes""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,12146,562,30360.76139699435,,
dev_5829,v5_predicted,original,ANSWERED,Derbyshire,"[""Derbyshire""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,11171,357,12281.315286003519,,
dev_5850,v5_predicted,original,ANSWERED,Germany,"[""Saarbrucken"", ""Saarbrücken""]",False,0.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,8,11231,287,17027.827890997287,,
dev_5902,v5_predicted,original,ANSWERED,Haan Maine Bhi Pyaar Kiya,"[""Haan Maine Bhi Pyaar Kiya""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,8,11789,480,67046.47798096994,,
dev_6101,v5_predicted,original,ANSWERED,Jung Il-Woo,"[""Jeong Il U"", ""Jung Il-Woo"", ""Jeong Ir-u"", ""Jung Il-woo"", ""Jeong Il-u"", ""Jung Il Woo""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,13209,971,65898.43429904431,,
dev_6355,v5_predicted,original,ANSWERED,Yes,"[""no""]",False,0.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,11,24382,796,34373.4646490193,,
dev_6489,v5_predicted,original,ANSWERED,Without The King,"[""Without The King"", ""Without the King""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,9993,345,40672.63724299846,,
dev_6579,v5_predicted,original,ANSWERED,The Student's Romance,"[""Student's Romance"", ""The Student's Romance"", ""The Student'S Romance""]",True,1.0,,,,,,,,,,,True,,,0.6666666666666666,1.0,0.0,0,2,1,,True,10,12556,847,33816.09529798152,,
dev_6724,v5_predicted,original,ANSWERED,Ethiopian,"[""U.S.A."", ""US of A"", ""US"", ""United States of America"", ""USA"", ""the United States of America"", ""United States"", ""the US"", ""🇺🇸"", ""the United States"", ""U.S."", ""America"", ""the USA""]",False,0.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,8,11403,391,32279.78305600118,,
dev_6763,v5_predicted,original,ANSWERED,Paris,"[""Carcassonne""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,10893,327,13718.744743964635,,
dev_6782,v5_predicted,original,ANSWERED,First Cemetery of Athens,"[""First Cemetery of Athens""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,17156,290,10921.699561004061,,
dev_6942,v5_predicted,original,ANSWERED,University of Illinois at Urbana-Champaign,"[""Tehran University"", ""UT"", ""University of Tehran""]",False,0.4444444444444444,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,10,20699,501,292713.8945530169,,
dev_701,v5_predicted,original,ANSWERED,Melvin Kranzberg,"[""Melvin Kranzberg""]",True,1.0,,,,,,,,,,,True,,,1.0,0.3333333333333333,0.0,0,1,2,,True,15,26079,1387,50856.75115999766,,
dev_7062,v5_predicted,original,ANSWERED,no,"[""no""]",True,1.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,8,11467,433,24514.596530003473,,
dev_708,v5_predicted,original,ANSWERED,"Vienne, France","[""Roma"", ""Rome Italy"", ""Rome"", ""Roman"", ""The Eternal City""]",False,0.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,11,23222,435,18250.05156500265,,
dev_7142,v5_predicted,original,ANSWERED,Yes,"[""yes""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,11772,587,14104.60461198818,,
dev_7227,v5_predicted,original,ANSWERED,Sweden,"[""Norwegian"", ""Kingdom of Norway"", ""Norvège‏"", ""Norwegen‏"", ""no"", ""NOR"", ""NO"", ""🇳🇴"", ""Norge"", ""Norway"", ""Noreg""]",False,0.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,8,12221,304,17072.62306002667,,
dev_7395,v5_predicted,original,ANSWERED,Casimir I of Mazovia,"[""Siemowit III, Duke of Masovia""]",False,0.22222222222222224,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,12335,475,22226.555235043634,,
dev_7520,v5_predicted,original,ANSWERED,"Christ Church, Oxford","[""The House"", ""Christ Church"", ""Christ Church, Oxford"", ""Christ Church College"", ""Euseby Isham""]",True,1.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,9,13208,349,14460.303580970503,,
dev_758,v5_predicted,original,ANSWERED,"Moreno Valley, California","[""Moreno Valley"", ""Moreno Valley, California""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,8,11612,315,26687.17893998837,,
